pathology,threshold,rule_applied,fallback_used,val_sensitivity,val_specificity,val_ppv,val_f1,val_alert_rate,sensitivity_floor,selected_on,smoke_test
Infiltration,0.27,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.8793,0.2142,0.136,0.2356,0.7973,0.8,validation_split_only,False
Effusion,0.28,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.8078,0.6437,0.1432,0.2432,0.3873,0.8,validation_split_only,False
Atelectasis,0.31,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.8047,0.4815,0.1153,0.2017,0.5407,0.8,validation_split_only,False
Nodule,0.31,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.8084,0.3484,0.0604,0.1124,0.6593,0.8,validation_split_only,False
Mass,0.21,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.8023,0.3517,0.051,0.096,0.6547,0.8,validation_split_only,False
Consolidation,0.06,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.8194,0.2357,0.028,0.0541,0.7657,0.8,validation_split_only,False
Pneumothorax,0.14,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.8048,0.5119,0.0412,0.0785,0.4961,0.8,validation_split_only,False
Pleural_Thickening,0.13,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.8093,0.3221,0.0309,0.0596,0.6814,0.8,validation_split_only,False
