operating_point,pathology,threshold,n_opportunities,n_positive,fired,sensitivity,ppv,alert_rate,smoke_test
grid_0.15,Pneumothorax,0.15,22799,2633,19583,0.9662,0.1299,0.8589,False
grid_0.15,Pleural_Thickening,0.15,22799,1041,20478,0.9616,0.0489,0.8982,False
grid_0.15,Cardiomegaly,0.15,22799,974,15932,0.9189,0.0562,0.6988,False
grid_0.15,Edema,0.15,22799,911,14440,0.9254,0.0584,0.6334,False
grid_0.15,Emphysema,0.15,22799,1058,15620,0.8459,0.0573,0.6851,False
grid_0.15,Fibrosis,0.15,22799,367,9874,0.7193,0.0267,0.4331,False
grid_0.15,Pneumonia,0.15,22799,528,13725,0.6629,0.0255,0.602,False
grid_0.20,Infiltration,0.2,22799,5887,22497,0.9942,0.2602,0.9868,False
grid_0.20,Effusion,0.2,22799,4520,20032,0.9823,0.2216,0.8786,False
grid_0.20,Atelectasis,0.2,22799,3122,21468,0.9782,0.1423,0.9416,False
grid_0.20,Nodule,0.2,22799,1465,22312,0.9891,0.0649,0.9786,False
grid_0.20,Mass,0.2,22799,1582,21546,0.9747,0.0716,0.945,False
grid_0.20,Consolidation,0.2,22799,1768,19688,0.9655,0.0867,0.8635,False
grid_0.20,Pneumothorax,0.2,22799,2633,17922,0.9377,0.1378,0.7861,False
grid_0.20,Pleural_Thickening,0.2,22799,1041,19004,0.9385,0.0514,0.8335,False
grid_0.20,Cardiomegaly,0.2,22799,974,13588,0.8604,0.0617,0.596,False
grid_0.20,Edema,0.2,22799,911,12662,0.8804,0.0633,0.5554,False
grid_0.20,Emphysema,0.2,22799,1058,13226,0.7561,0.0605,0.5801,False
grid_0.20,Fibrosis,0.2,22799,367,7469,0.6267,0.0308,0.3276,False
grid_0.20,Pneumonia,0.2,22799,528,9891,0.4924,0.0263,0.4338,False
grid_0.25,Infiltration,0.25,22799,5887,22189,0.9886,0.2623,0.9732,False
grid_0.25,Effusion,0.25,22799,4520,18993,0.9681,0.2304,0.8331,False
grid_0.25,Atelectasis,0.25,22799,3122,20805,0.967,0.1451,0.9125,False
grid_0.25,Nodule,0.25,22799,1465,21603,0.9734,0.066,0.9475,False
grid_0.25,Mass,0.25,22799,1582,20647,0.9526,0.073,0.9056,False
grid_0.25,Consolidation,0.25,22799,1768,18914,0.9548,0.0892,0.8296,False
grid_0.25,Pneumothorax,0.25,22799,2633,16272,0.9077,0.1469,0.7137,False
grid_0.25,Pleural_Thickening,0.25,22799,1041,17325,0.8943,0.0537,0.7599,False
grid_0.25,Cardiomegaly,0.25,22799,974,11424,0.7875,0.0671,0.5011,False
grid_0.25,Edema,0.25,22799,911,11068,0.8408,0.0692,0.4855,False
grid_0.25,Emphysema,0.25,22799,1058,10994,0.6531,0.0629,0.4822,False
grid_0.25,Fibrosis,0.25,22799,367,5835,0.5422,0.0341,0.2559,False
grid_0.25,Pneumonia,0.25,22799,528,6643,0.3655,0.0291,0.2914,False
grid_0.30,Infiltration,0.3,22799,5887,21653,0.9777,0.2658,0.9497,False
grid_0.30,Effusion,0.3,22799,4520,17893,0.9491,0.2398,0.7848,False
grid_0.30,Atelectasis,0.3,22799,3122,20009,0.952,0.1485,0.8776,False
grid_0.30,Nodule,0.3,22799,1465,20467,0.9352,0.0669,0.8977,False
grid_0.30,Mass,0.3,22799,1582,19490,0.9248,0.0751,0.8549,False
grid_0.30,Consolidation,0.3,22799,1768,18090,0.9395,0.0918,0.7935,False
grid_0.30,Pneumothorax,0.3,22799,2633,14572,0.869,0.157,0.6392,False
grid_0.30,Pleural_Thickening,0.3,22799,1041,15507,0.8463,0.0568,0.6802,False
grid_0.30,Cardiomegaly,0.3,22799,974,9516,0.7207,0.0738,0.4174,False
grid_0.30,Edema,0.3,22799,911,9687,0.7892,0.0742,0.4249,False
grid_0.30,Emphysema,0.3,22799,1058,9039,0.5643,0.066,0.3965,False
grid_0.30,Fibrosis,0.3,22799,367,4634,0.4687,0.0371,0.2033,False
grid_0.30,Pneumonia,0.3,22799,528,4414,0.2424,0.029,0.1936,False
grid_0.35,Infiltration,0.35,22799,5887,20857,0.9597,0.2709,0.9148,False
grid_0.35,Effusion,0.35,22799,4520,16763,0.929,0.2505,0.7353,False
grid_0.35,Atelectasis,0.35,22799,3122,19109,0.9302,0.152,0.8382,False
grid_0.35,Nodule,0.35,22799,1465,18755,0.8922,0.0697,0.8226,False
grid_0.35,Mass,0.35,22799,1582,17912,0.8812,0.0778,0.7856,False
grid_0.35,Consolidation,0.35,22799,1768,17317,0.927,0.0946,0.7596,False
grid_0.35,Pneumothorax,0.35,22799,2633,12882,0.823,0.1682,0.565,False
grid_0.35,Pleural_Thickening,0.35,22799,1041,13663,0.7714,0.0588,0.5993,False
grid_0.35,Cardiomegaly,0.35,22799,974,7784,0.6458,0.0808,0.3414,False
grid_0.35,Edema,0.35,22799,911,8477,0.7475,0.0803,0.3718,False
grid_0.35,Emphysema,0.35,22799,1058,7332,0.4716,0.0681,0.3216,False
grid_0.35,Fibrosis,0.35,22799,367,3646,0.3924,0.0395,0.1599,False
grid_0.35,Pneumonia,0.35,22799,528,2888,0.1629,0.0298,0.1267,False
grid_0.40,Infiltration,0.4,22799,5887,19583,0.9224,0.2773,0.8589,False
grid_0.40,Effusion,0.4,22799,4520,15623,0.8982,0.2599,0.6852,False
grid_0.40,Atelectasis,0.4,22799,3122,18010,0.9058,0.157,0.7899,False
grid_0.40,Nodule,0.4,22799,1465,16403,0.8205,0.0733,0.7195,False
grid_0.40,Mass,0.4,22799,1582,16079,0.8249,0.0812,0.7053,False
grid_0.40,Consolidation,0.4,22799,1768,16501,0.9106,0.0976,0.7238,False
grid_0.40,Pneumothorax,0.4,22799,2633,11351,0.7695,0.1785,0.4979,False
grid_0.40,Pleural_Thickening,0.4,22799,1041,11744,0.7137,0.0633,0.5151,False
grid_0.40,Cardiomegaly,0.4,22799,974,6300,0.5883,0.091,0.2763,False
grid_0.40,Edema,0.4,22799,911,7323,0.6751,0.084,0.3212,False
grid_0.40,Emphysema,0.4,22799,1058,5831,0.3913,0.071,0.2558,False
grid_0.40,Fibrosis,0.4,22799,367,2825,0.3515,0.0457,0.1239,False
grid_0.40,Pneumonia,0.4,22799,528,1864,0.0985,0.0279,0.0818,False
grid_0.45,Infiltration,0.45,22799,5887,17896,0.8675,0.2854,0.7849,False
grid_0.45,Effusion,0.45,22799,4520,14347,0.8613,0.2713,0.6293,False
grid_0.45,Atelectasis,0.45,22799,3122,16653,0.8623,0.1617,0.7304,False
grid_0.45,Nodule,0.45,22799,1465,13597,0.7188,0.0774,0.5964,False
grid_0.45,Mass,0.45,22799,1582,14014,0.7522,0.0849,0.6147,False
grid_0.45,Consolidation,0.45,22799,1768,15611,0.8852,0.1002,0.6847,False
grid_0.45,Pneumothorax,0.45,22799,2633,9901,0.7171,0.1907,0.4343,False
grid_0.45,Pleural_Thickening,0.45,22799,1041,9883,0.6321,0.0666,0.4335,False
grid_0.45,Cardiomegaly,0.45,22799,974,5031,0.5298,0.1026,0.2207,False
grid_0.45,Edema,0.45,22799,911,6237,0.6059,0.0885,0.2736,False
grid_0.45,Emphysema,0.45,22799,1058,4586,0.3308,0.0763,0.2011,False
grid_0.45,Fibrosis,0.45,22799,367,2151,0.2698,0.046,0.0943,False
grid_0.45,Pneumonia,0.45,22799,528,1168,0.0682,0.0308,0.0512,False
grid_0.50,Infiltration,0.5,22799,5887,15800,0.7929,0.2954,0.693,False
grid_0.50,Effusion,0.5,22799,4520,12978,0.8124,0.2829,0.5692,False
grid_0.50,Atelectasis,0.5,22799,3122,15073,0.8136,0.1685,0.6611,False
grid_0.50,Nodule,0.5,22799,1465,10669,0.5952,0.0817,0.468,False
grid_0.50,Mass,0.5,22799,1582,11754,0.6555,0.0882,0.5155,False
grid_0.50,Consolidation,0.5,22799,1768,14684,0.8546,0.1029,0.6441,False
grid_0.50,Pneumothorax,0.5,22799,2633,8492,0.6476,0.2008,0.3725,False
grid_0.50,Pleural_Thickening,0.5,22799,1041,8131,0.5581,0.0715,0.3566,False
grid_0.50,Cardiomegaly,0.5,22799,974,3892,0.4569,0.1143,0.1707,False
grid_0.50,Edema,0.5,22799,911,5227,0.5148,0.0897,0.2293,False
grid_0.50,Emphysema,0.5,22799,1058,3562,0.276,0.082,0.1562,False
grid_0.50,Fibrosis,0.5,22799,367,1599,0.218,0.05,0.0701,False
grid_0.50,Pneumonia,0.5,22799,528,741,0.0473,0.0337,0.0325,False
grid_0.55,Infiltration,0.55,22799,5887,13290,0.7002,0.3102,0.5829,False
grid_0.55,Effusion,0.55,22799,4520,11478,0.75,0.2953,0.5034,False
grid_0.55,Atelectasis,0.55,22799,3122,13187,0.7479,0.1771,0.5784,False
grid_0.55,Nodule,0.55,22799,1465,7740,0.4683,0.0886,0.3395,False
grid_0.55,Mass,0.55,22799,1582,9452,0.5588,0.0935,0.4146,False
grid_0.55,Consolidation,0.55,22799,1768,13653,0.815,0.1055,0.5988,False
grid_0.55,Pneumothorax,0.55,22799,2633,7175,0.5792,0.2125,0.3147,False
grid_0.55,Pleural_Thickening,0.55,22799,1041,6491,0.4822,0.0773,0.2847,False
grid_0.55,Cardiomegaly,0.55,22799,974,2986,0.385,0.1256,0.131,False
grid_0.55,Edema,0.55,22799,911,4267,0.4446,0.0949,0.1872,False
grid_0.55,Emphysema,0.55,22799,1058,2704,0.2164,0.0847,0.1186,False
grid_0.55,Fibrosis,0.55,22799,367,1134,0.1717,0.0556,0.0497,False
grid_0.55,Pneumonia,0.55,22799,528,476,0.0284,0.0315,0.0209,False
grid_0.60,Infiltration,0.6,22799,5887,10472,0.5949,0.3344,0.4593,False
grid_0.60,Effusion,0.6,22799,4520,9971,0.6827,0.3095,0.4373,False
grid_0.60,Atelectasis,0.6,22799,3122,11039,0.6579,0.1861,0.4842,False
grid_0.60,Nodule,0.6,22799,1465,5167,0.3338,0.0946,0.2266,False
grid_0.60,Mass,0.6,22799,1582,7240,0.4633,0.1012,0.3176,False
grid_0.60,Consolidation,0.6,22799,1768,12467,0.7681,0.1089,0.5468,False
grid_0.60,Pneumothorax,0.6,22799,2633,5880,0.5108,0.2287,0.2579,False
