pathology,threshold,rule_applied,fallback_used,val_sensitivity,val_specificity,val_ppv,val_f1,val_alert_rate,sensitivity_floor,selected_on,smoke_test
Infiltration,0.27,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.8793,0.2142,0.136,0.2356,0.7973,0.5,validation_split_only,False
Effusion,0.64,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.5026,0.9129,0.2984,0.3745,0.1156,0.5,validation_split_only,False
Atelectasis,0.52,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.5437,0.742,0.1504,0.2356,0.2801,0.5,validation_split_only,False
Nodule,0.49,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.516,0.6603,0.073,0.1279,0.3484,0.5,validation_split_only,False
Mass,0.45,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.5145,0.7249,0.0752,0.1312,0.2851,0.5,validation_split_only,False
Consolidation,0.18,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.5741,0.5912,0.0363,0.0684,0.4131,0.5,validation_split_only,False
Pneumothorax,0.33,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.5381,0.7711,0.0578,0.1043,0.2368,0.5,validation_split_only,False
Pleural_Thickening,0.31,validation_threshold_maximize_f1_with_sensitivity_floor,False,0.5395,0.6487,0.0394,0.0735,0.3562,0.5,validation_split_only,False
